AOB,bulb_angle_1,bulb_angle_2,bulb_angle_3,bulb_angle,pd_mm
10,148,150,149,149,18.96
10,144,145,142,144.5,15.73
20,146,146,147,146,19.61
20,144,146,146,145,18.47
20,146,146,144,146,34.67
20,140,140,140,140,30.29
10,143,142,142,142,5.9
10,148,146,142,147,8.86
20,144,146,144,145,12.19
20,145,146,149,145.5,8.85
0,153,152,154,152.5,6.96
10,144,144,144,144,11.6
0,152,152,150,152,5.27
0,154,154,154,154,10.38
0,152,155,144,153.5,9.25
10,149,148,146,148.5,12.31
20,146,148,144,147,18.54
20,144,142,137,143,12.66
20,144,142,143,143,13.65
10,149,147,144,148,8.64
20,142,142,135,142,8.56
20,142,142,140,142,13.15
0,156,156,162,156,
0,153,152,146,152.5,7.04
0,153,152,155,152.5,14.91
0,150,148,148,149,5.88
10,148,149,146,148.5,6.62
10,144,146,142,145,6.86
20,148,149,146,148.5,7.94
10,148,148,148,148,9.65
20,148,146,144,147,9.53
20,146,144,143,145,9.54
20,142,142,142,142,8.22
20,142,140,135,141,6.55
0,152,153,153,152.5,15.76
30,138,137,144,137.5,11.14
30,142,144,141,143,15.85
30,140,139,146,139.5,12.54
30,144,140,146,142,19.28
0,151,153,151,152,11.44
40,140,138,140,139,13.06
40,134,136,138,135,10.8
0,150,148,154,149,7.18
40,139,136,141,137.5,8.39
0,152,152,148,152,10.02
30,141,144,143,142.5,10.91
30,138,138,140,138,8.21
40,140,139,140,139.5,8.57
40,134,134,135,134,5.05
40,140,138,140,139,10.1
40,136,136,136,136,7.66
50,140,142,138,141,12.67
50,136,135,134,135.5,5.58
50,137,135,138,136,8.1
50,138,140,132,139,9.31
30,137,142,137,139.5,10.54
30,143,142,140,142.5,10.91
30,143,140,136,141.5,8.82
30,141,142,138,141.5,8.04
30,140,140,137,140,11.37
30,142,140,140,141,8.11
40,140,136,136,138,6.77
40,138,136,133,137,6.08
40,138,137,133,137.5,4.55
40,140,142,137,141,11.32
40,140,142,136,141,9.6
40,139,136,139,138,8.61
40,136,140,138,138,
50,140,139,140,139.7,7.95
50,140,140,139,139.7,8.99
40,134,136,136,135.3,4.48
40,136,138,135,136.3,7.67
50,138,138,138,138,8.37
50,136,138,138,137.3,6.87
50,138,139,138,138.3,8.79
50,138,138,139,138.3,11.86
50,142,141,141,141.3,9.49
0,150,150,151,150.3,7.43
50,142,143,142,142.3,22.89
50,136,136,136,136,10.3
30,137,140,142,139.7,11.95
40,139,140,138,139,10.78
50,136,138,138,137.3,9.88
30,140,140,142,140.7,9.06
60,134,135,136,135,7.42
60,136,136,136,136,13.02
60,143,144,144,143.7,11.84
60,140,138,140,139.3,6.88
60,140,140,138,139.3,10.32
60,138,140,140,139.3,7.22
60,138,136,136,136.7,14.95
60,143,143,142,142.7,12.7
-20,153,152,154,153,11
-20,150,154,154,152.7,11.24
-20,154,154,154,154,6.3
-20,154,154,155,154.3,10.64
-20,153,156,158,155.7,10.57
-20,154,154,155,154,7.01
-20,154,152,154,153,13.35
-20,150,152,152,151,8.16
-20,150,150,152,151,10.05
60,141,139,139,140,11.66
10,150,150,149,150,12.38
